☑	656 198 670 208
Trust	674 203 708 208
/	698 203 707 208
estate	705 203 737 208
Exempt 	753 214 795 223
payee 	796 214 828 223
code 	830 214 855 223
(	856 214 860 223
if 	859 214 867 223
any	869 214 887 223
)	886 214 890 223
☐	123 227 138 237
T	704 228 717 235
Exemption 	756 242 810 252
from 	814 242 837 252
FATCA 	841 242 876 252
reporting	879 242 926 252
code 	756 255 791 264
(	780 255 791 264
if 	787 255 796 264
any	795 255 817 264
)	813 255 820 264
☐	123 280 138 290
single	144 212 181 220
-	176 212 179 220
member 	179 212 223 220
LLC	224 212 246 220
Limited 	145 230 184 238
liability 	184 230 221 238
company	224 230 271 238
. 	271 230 274 238
Enter 	276 230 303 238
the 	306 230 323 238
tax 	325 230 342 238
classification 	344 230 409 238
(	412 230 414 238
C	416 230 424 238
=	424 230 429 238
C 	428 230 439 238
corporation	441 230 499 238
, 	499 230 501 238
S	506 230 513 238
=	513 230 519 238
S 	520 230 527 238
corporation	531 230 588 238
, 	589 230 591 238
P	595 230 602 238
-	603 230 609 238
Partnership	609 230 666 238
) 	666 230 670 238
►	671 230 681 238
Note	144 242 173 252
: 	170 242 174 252
Check 	177 242 211 252
the 	213 242 230 252
appropriate 	232 242 290 252
box 	293 242 314 252
in 	316 242 324 252
the 	328 242 343 252
line 	345 242 364 252
above 	367 242 399 252
for 	401 242 415 252
the 	418 242 434 252
tax 	437 242 453 252
classification 	456 242 521 252
of 	524 242 534 252
the 	537 242 553 252
single	556 242 585 252
-	586 242 589 252
member 	590 242 632 252
owner	635 242 666 252
. 	667 242 669 252
Do 	675 242 691 252
not 	693 242 709 252
check	712 242 743 252
LLC 	145 251 167 259
if 	168 251 177 259
the 	178 251 195 259
LLC 	197 251 218 259
is 	221 251 229 259
classified 	232 251 279 259
as 	283 251 294 259
a 	297 251 303 259
single	306 251 336 259
-	337 251 340 259
member 	341 251 383 259
LLC 	385 251 406 259
that 	409 251 429 259
is 	431 251 440 259
disregarded 	442 251 503 259
from 	505 251 530 259
the 	533 251 549 259
owner 	551 251 584 259
unless 	586 251 618 259
the 	621 251 638 259
owner 	640 251 672 259
of 	675 251 685 259
the 	688 251 704 259
LLC 	706 251 728 259
is	728 251 742 259
another 	145 261 184 269
LLC 	187 261 208 269
that 	210 261 231 269
is 	233 261 242 269
not 	245 261 262 269
disregarded 	265 261 326 269
from 	328 261 352 269
the 	355 261 371 269
owner 	374 261 406 269
for 	408 261 422 269
U.S. 	425 261 446 269
federal 	450 261 483 269
tax 	488 261 503 269
purposes	506 261 553 269
. 	553 261 555 269
Otherwise	559 261 611 269
, 	611 261 613 269
a 	616 261 623 269
single	626 261 656 269
-	656 261 659 269
member 	660 261 702 269
LLC 	705 261 726 269
that	729 261 748 269
is 	144 269 158 278
disregarded 	155 269 218 277
from 	221 269 243 277
the 	246 269 262 277
owner 	265 269 297 277
should 	299 269 334 277
check 	337 269 367 277
the 	370 269 386 277
appropriate 	389 269 447 277
box 	450 269 470 277
for 	473 269 487 277
the 	489 269 506 277
tax 	508 269 524 277
classification 	527 269 592 277
of 	595 269 606 277
its 	609 269 620 277
owner	624 269 655 277
.	654 269 657 277
Other 	144 283 175 291
(	175 283 180 290
see 	180 283 198 290
instructions	201 283 259 290
) 	258 283 261 290
►	264 283 274 290
5 	117 295 126 303
Address 	128 295 171 303
(	173 295 178 303
number	178 295 217 303
, 	217 295 219 303
street	222 295 251 303
, 	251 295 254 303
and 	257 295 277 303
apt	279 295 296 303
. 	296 295 298 303
or 	302 295 312 303
suite 	315 295 339 303
no	342 295 355 303
.	356 295 358 303
) 	358 295 361 303
See 	364 295 384 303
instructions	386 295 446 303
.	446 295 450 303
309311 	114 310 176 321
Shirley 	182 310 230 321
Road	235 310 270 321
6 	116 323 128 330
City	128 323 152 330
, 	146 323 152 330
state	156 323 182 330
, 	181 323 184 330
and 	187 323 207 330
ZIP 	208 323 226 330
code	229 323 256 330
Freemantle	118 337 192 348
, 	193 337 195 347
Southampton	202 337 293 347
, 	295 337 297 347
SO15 	303 337 339 347
3HW	345 337 375 347
7 	114 350 126 359
List 	127 350 150 359
account 	149 350 191 359
number	194 350 233 359
(	232 350 235 359
s	234 350 241 359
) 	239 350 243 359
here 	246 350 270 359
(	270 350 275 359
optional	275 350 314 359
)	314 350 317 359
Part 	83 378 126 386
I 	121 378 127 386
Taxpayer 	163 377 236 390
Identification 	242 377 340 390
Number 	346 377 406 390
(	411 377 415 390
TIN	415 377 441 390
)	442 377 446 390
013203673217EUR	464 366 592 373
(	754 283 763 288
Applies 	756 283 787 288
to 	787 283 795 288
accounts 	795 283 830 288
maintained 	832 283 873 288
outside 	874 283 901 288
the 	903 283 915 288
US	916 283 931 288
Requester's 	650 295 713 303
name 	715 295 743 303
and 	745 295 766 303
address 	767 295 809 303
(	810 295 816 303
optional	814 295 856 303
)	856 295 859 303
Enter 	75 393 108 402
your 	110 393 136 402
TIN 	139 393 159 402
in 	162 393 173 402
the 	177 393 195 402
appropriate 	198 393 265 402
box	268 393 290 402
. 	291 393 293 402
The 	296 393 319 402
TIN 	322 393 342 402
provided 	346 393 397 402
must 	400 393 430 402
match 	433 393 469 402
the 	472 393 491 402
name 	494 393 527 402
given 	530 393 560 402
on 	563 393 579 402
line 	582 393 602 402
1 	606 393 612 402
to 	616 393 628 402
avoid	631 393 663 402
backup 	74 402 120 412
withholding	121 402 189 412
. 	189 402 193 412
For 	196 402 215 412
individuals	218 402 280 412
, 	280 402 282 412
this 	286 402 307 412
is 	311 402 320 412
generally 	324 402 376 412
your 	378 402 405 412
social 	408 402 440 412
security 	446 402 490 412
number 	494 402 538 412
(	540 402 545 412
SSN	544 402 570 412
)	570 402 574 412
. 	575 402 577 412
However	581 402 633 412
, 	633 402 635 412
for 	640 402 656 412
a	659 402 666 412
resident 	75 413 123 423
alien	126 413 152 422
, 	152 413 155 422
sole 	160 413 183 422
proprietor	187 413 244 422
, 	245 413 246 422
or 	251 413 263 422
disregarded 	267 413 335 422
entity	338 413 371 422
, 	371 413 372 422
see 	377 413 398 422
the 	402 413 419 422
instructions 	423 413 490 422
for 	494 413 509 422
Part 	512 413 535 422
I	540 413 543 422
, 	544 413 546 422
later	550 413 575 422
. 	576 413 579 422
For 	582 413 602 422
other	605 413 635 422
entities	75 423 118 433
, 	118 423 121 432
it 	124 423 132 432
is 	136 423 145 432
your 	147 423 174 432
employer 	176 423 230 432
identification 	234 423 307 432
number 	311 423 355 432
(	358 423 362 432
EIN	362 423 382 432
)	382 423 385 432
. 	386 423 389 432
If 	389 423 400 432
you 	403 423 425 432
do 	428 423 443 432
not 	447 423 465 432
have 	469 423 497 432
a 	500 423 507 432
number	511 423 555 432
, 	556 423 558 432
see 	562 423 582 432
How 	586 423 613 432
to 	616 423 627 432
get 	631 423 650 432
a	653 423 660 432
TIN	75 434 97 441
, 	95 434 100 441
later	102 434 130 441
.	129 434 132 441
Note	75 448 107 456
: 	105 448 110 456
If 	114 448 122 456
the 	123 448 143 456
account 	145 448 193 456
is 	196 448 206 456
in 	208 448 219 456
more 	223 448 252 456
than 	255 448 280 456
one 	284 448 306 456
name	309 448 342 456
, 	342 448 344 456
see 	348 448 370 456
the 	372 448 391 456
instructions 	395 448 461 456
for 	465 448 480 456
line 	483 448 503 456
1. 	508 448 517 456
Also 	520 448 547 456
see 	550 448 571 456
What 	574 448 604 456
Name 	607 448 642 456
and	644 448 668 456
Number 	74 458 124 467
To 	125 458 142 467
Give 	142 458 171 467
the 	174 458 192 467
Requester 	196 458 256 467
for 	258 458 274 467
guidelines 	278 458 336 467
on 	339 458 353 467
whose 	357 458 395 467
number 	399 458 443 467
to 	446 458 458 467
enter	461 458 491 467
.	491 458 494 467
Social 	697 392 731 399
security 	735 392 778 399
number	781 392 822 399
379	697 414 755 422
or	690 437 706 442
06	790 415 826 422
7756	860 415 941 422
Employer 	694 446 750 454
identification 	751 446 822 454
number	826 446 867 454
Part 	80 488 124 496
II	120 488 129 496
Certification	165 489 259 496
Under 	74 503 113 512
penalties 	115 503 168 512
of 	171 503 183 512
perjury	186 503 226 512
, 	226 503 229 512
I 	233 503 238 512
certify 	239 503 276 512
that	277 503 301 512
:	300 503 303 512
1. 	75 517 87 526
The 	89 517 113 526
number 	116 517 161 526
shown 	164 517 202 526
on 	205 517 220 526
this 	224 517 244 526
form 	248 517 274 526
is 	277 517 287 526
my 	291 517 309 526
correct 	311 517 352 526
taxpayer 	356 517 406 526
identification 	410 517 483 526
number 	487 517 531 526
(	533 517 538 526
or 	538 517 549 526
I 	553 517 556 526
am 	560 517 578 526
waiting 	581 517 622 526
for 	626 517 643 526
a 	645 517 653 526
number 	656 517 700 526
to 	703 517 715 526
be 	718 517 734 526
issued 	736 517 774 526
to 	778 517 790 526
me	793 517 812 526
)	809 517 814 526
; 	814 517 817 526
and	821 517 844 526
2. 	74 527 89 537
I 	88 527 96 537
am 	98 527 117 537
not 	119 527 139 537
subject 	141 527 184 537
to 	187 527 199 537
backup 	202 527 245 537
withholding 	249 527 315 537
because	318 527 368 537
: 	367 527 370 537
(	374 527 378 537
a	378 527 386 537
) 	384 527 387 537
I 	391 527 395 537
am 	399 527 416 537
exempt 	419 527 463 537
from 	466 527 493 537
backup 	497 527 540 537
withholding	543 527 610 537
, 	610 527 613 537
or 	617 527 629 537
(	631 527 635 537
b	635 527 643 537
) 	642 527 646 537
I 	650 527 654 537
have 	657 527 685 537
not 	688 527 706 537
been 	710 527 740 537
notified 	743 527 786 537
by 	790 527 804 537
the 	807 527 826 537
Internal 	829 527 872 537
Revenue	876 527 927 537
Service 	91 538 135 547
(	135 538 140 547
IRS	140 538 162 547
) 	160 538 164 547
that 	168 538 190 547
I 	193 538 196 547
am 	201 538 218 547
subject 	222 538 264 547
to 	268 538 280 547
backup 	283 538 326 547
withholding 	329 538 396 547
as 	399 538 414 547
a 	416 538 423 547
result 	427 538 458 547
of 	462 538 474 547
a 	477 538 484 547
failure 	487 538 522 547
to 	525 538 538 547
report 	541 538 576 547
all 	579 538 591 547
interest 	595 538 638 547
or 	642 538 654 547
dividends	657 538 713 547
, 	713 538 716 547
or 	719 538 732 547
(	734 538 740 547
c	738 538 745 547
) 	745 538 749 547
the 	751 538 770 547
IRS 	772 538 795 547
has 	798 538 819 547
notified 	823 538 866 547
me 	869 538 887 547
that 	891 538 913 547
I 	915 538 919 547
am	923 538 941 547
no 	91 548 107 557
longer 	108 548 146 557
subject 	149 548 192 557
to 	195 548 206 557
backup 	209 548 252 557
withholding	256 548 323 557
; 	321 548 325 557
and	329 548 351 557
3. 	75 563 87 572
I 	90 563 94 572
am 	98 563 116 572
a 	119 563 127 572
U.S. 	130 563 154 572
citizen 	158 563 195 572
or 	199 563 211 572
other 	214 563 243 572
U.S. 	248 563 271 572
person 	276 563 315 572
(	317 563 323 572
defined 	323 563 366 572
below	368 563 404 572
)	402 563 406 572
; 	408 563 411 572
and	414 563 436 572
4. 	74 576 86 586
The 	90 576 112 585
FATCA 	117 576 157 585
code	160 576 189 585
(	188 576 192 585
s	192 576 199 585
) 	198 576 202 585
entered 	205 576 250 585
on 	253 576 267 585
this 	271 576 291 585
form 	295 576 321 585
(	324 576 328 585
if 	328 576 336 585
any	338 576 360 585
) 	358 576 363 585
indicating 	366 576 422 585
that 	425 576 449 585
I 	452 576 453 585
am 	459 576 477 585
exempt 	480 576 523 585
from 	527 576 553 585
FATCA 	558 576 598 585
reporting 	602 576 654 585
is 	657 576 667 585
correct	670 576 712 585
.	709 576 713 585
Certification 	75 591 149 600
instructions	152 591 221 600
. 	222 591 224 600
You 	227 591 249 600
must 	254 591 281 600
cross 	284 591 314 600
out 	317 591 335 600
item 	337 591 361 600
2 	365 591 372 600
above 	375 591 409 600
if 	412 591 419 600
you 	421 591 441 600
have 	445 591 472 600
been 	474 591 502 600
notified 	505 591 546 600
by 	549 591 563 600
the 	566 591 584 600
IRS 	587 591 606 600
that 	610 591 631 600
you 	634 591 654 600
are 	658 591 675 600
currently 	679 591 727 600
subject 	729 591 770 600
to 	773 591 784 600
backup 	787 591 829 600
withholding 	832 591 895 600
because	898 591 946 600
you 	76 601 96 610
have 	98 601 127 610
failed 	129 601 159 610
to 	162 601 173 610
report 	177 601 209 610
all 	212 601 224 610
interest 	227 601 268 610
and 	272 601 293 610
dividends 	296 601 349 610
on 	353 601 367 610
your 	369 601 395 610
tax 	397 601 415 610
return	417 601 449 610
. 	450 601 452 610
For 	456 601 475 610
real 	478 601 497 610
estate 	501 601 535 610
transactions	538 601 606 610
, 	606 601 609 610
item 	611 601 636 610
2 	639 601 647 610
does 	649 601 677 610
not 	680 601 697 610
apply	701 601 732 610
. 	731 601 734 610
For 	738 601 757 610
mortgage 	760 601 813 610
interest 	815 601 857 610
paid	860 601 884 610
,	883 601 888 610
acquisition 	76 611 136 621
or 	139 611 151 621
abandonment 	154 611 230 621
of 	233 611 244 621
secured 	247 611 291 621
property	295 611 341 621
, 	342 611 345 621
cancellation 	348 611 413 621
of 	416 611 428 621
debt	430 611 455 621
, 	456 611 458 621
contributions 	462 611 534 621
to 	537 611 549 621
an 	552 611 565 621
individual 	569 611 619 621
retirement 	625 611 679 621
arrangement 	683 611 753 621
(	754 611 759 621
IRA	760 611 779 621
)	778 611 781 621
, 	782 611 785 621
and 	788 611 810 621
generally	813 611 863 621
, 	863 611 865 621
payments	869 611 923 621
other 	75 622 106 630
than 	107 622 133 630
interest 	136 622 176 630
and 	180 622 201 630
dividends	204 622 256 630
, 	257 622 259 630
you 	263 622 283 630
are 	287 622 304 630
not 	308 622 325 630
required 	328 622 374 630
to 	378 622 389 630
sign 	392 622 414 630
the 	417 622 436 630
certification	438 622 502 630
, 	501 622 505 630
but 	508 622 527 630
you 	530 622 550 630
must 	554 622 581 630
provide 	585 622 626 630
your 	628 622 654 630
correct 	656 622 696 630
TIN	698 622 716 630
. 	719 622 720 630
See 	723 622 746 630
the 	749 622 766 630
instructions 	770 622 834 630
for 	837 622 852 630
Part 	854 622 878 630
II	881 622 887 630
, 	888 622 891 630
later	893 622 919 630
.	919 622 922 630
Sign	75 640 111 649
Here	75 651 116 659
Signature 	142 644 200 652
of	199 644 211 652
U.S. 	142 654 165 662
person 	168 654 210 662
►	205 654 219 662
George 	228 640 315 667
Stage	311 640 402 666
General 	76 673 159 686
Instructions	168 673 295 686
Section 	76 694 120 701
references 	123 694 185 701
are 	188 694 207 701
to 	209 694 221 701
the 	224 694 242 701
Internal 	246 694 288 701
Revenue 	293 694 343 701
Code 	346 694 378 701
unless 	381 694 418 701
otherwise	422 694 478 701
noted	75 704 112 712
.	109 704 114 711
Future 	77 718 120 726
developments	120 718 207 726
. 	208 718 209 726
For 	214 718 233 726
the 	237 718 255 726
latest 	258 718 290 726
information 	293 718 358 726
about 	362 718 395 726
developments	398 718 480 726
related 	76 728 117 737
to 	116 728 132 737
Form 	135 728 164 737
W	167 728 182 737
-	180 728 185 737
9 	185 728 193 737
and 	196 728 218 737
its 	221 728 234 737
instructions	239 728 304 737
, 	305 728 307 737
such 	312 728 339 737
as 	343 728 357 737
legislation 	359 728 418 737
enacted	421 728 469 737
after 	76 738 104 747
they 	105 738 132 747
were 	133 738 162 747
published	165 738 223 747
, 	223 738 225 747
go 	229 738 244 747
to 	243 738 259 747
www.irs.gov/FormW9	262 738 388 747
.	387 738 392 747
Purpose 	78 755 152 767
of 	160 755 177 767
Form	184 755 230 767
An 	74 773 99 783
individual 	96 773 150 783
or 	154 773 166 783
entity 	169 773 201 783
(	203 773 207 783
Form 	208 773 237 783
W	240 773 254 783
-	251 773 258 783
9 	258 773 265 783
requester	269 773 324 783
) 	323 773 327 783
who 	330 773 355 783
is 	359 773 369 783
required 	372 773 419 783
to 	422 773 434 783
file 	437 773 455 783
an	458 773 472 783
information 	74 784 142 793
return 	146 784 179 793
with 	183 784 207 793
the 	210 784 229 793
IRS 	233 784 252 793
must 	256 784 285 793
obtain 	289 784 324 793
your 	327 784 353 793
correct 	357 784 397 793
taxpayer	401 784 451 793
identification 	76 794 151 803
number 	154 794 199 803
(	200 794 208 803
TIN	205 794 224 803
) 	224 794 228 803
which 	231 794 266 803
may 	270 794 294 803
be 	294 794 312 803
your 	314 794 341 803
social 	345 794 377 803
security 	381 794 427 803
number	430 794 475 803
(	74 804 82 814
SSN	80 804 107 814
)	104 804 110 814
, 	109 804 113 814
individual 	116 804 171 814
taxpayer 	175 804 225 814
identification 	229 804 301 814
number 	306 804 349 814
(	352 804 356 814
ITIN	356 804 379 814
)	380 804 383 814
, 	384 804 386 814
adoption	390 804 441 814
taxpayer 	76 815 128 824
identification 	129 815 204 824
number 	208 815 252 824
(	254 815 259 824
ATIN	258 815 286 824
)	287 815 290 824
, 	291 815 294 824
or 	298 815 309 824
employer 	312 815 367 824
identification 	370 815 443 824
number	447 815 491 824
(	74 825 82 834
EIN	80 825 100 834
)	98 825 104 834
, 	105 825 109 834
to 	111 825 123 834
report 	126 825 161 834
on 	165 825 179 834
an 	183 825 197 834
information 	201 825 265 834
return 	270 825 302 834
the 	306 825 325 834
amount 	328 825 372 834
paid 	375 825 400 834
to 	402 825 415 834
you	418 825 440 834
, 	440 825 443 834
or 	447 825 459 834
other	462 825 493 834
amount 	75 835 121 844
reportable 	123 835 183 844
on 	187 835 201 844
an 	205 835 218 844
information 	223 835 287 844
return	291 835 324 844
. 	325 835 327 844
Examples 	331 835 388 844
of 	392 835 404 844
information	408 835 471 844
returns 	75 846 118 855
include	120 846 163 855
, 	163 846 165 855
but 	169 846 189 855
are 	192 846 211 855
not 	214 846 233 855
limited 	237 846 274 855
to	277 846 290 855
, 	289 846 292 855
the 	296 846 315 855
following	318 846 370 855
.	370 846 375 855
• 	75 859 87 868
Form 	88 859 118 868
1099	120 859 150 868
-	150 859 154 868
INT 	155 859 176 868
(	177 859 181 868
interest 	180 859 224 868
earned 	227 859 268 868
or 	271 859 282 868
paid	286 859 311 868
)	311 859 314 868
Cat	393 889 415 895
. 	412 889 415 895
No. 	418 889 436 895
10231X	439 889 478 895
Date	641 654 671 660
6/03/19	692 643 794 661
• 	528 673 538 683
Form 	539 672 569 682
1099	572 672 602 682
-	602 672 605 682
DIV 	606 672 628 682
(	629 672 634 682
dividends	634 672 690 682
, 	690 672 693 682
including 	697 672 748 682
those 	752 672 784 682
from 	788 672 814 682
stocks 	818 672 856 682
or 	860 672 872 682
mutual	875 672 914 682
funds	527 683 562 692
)	556 683 566 692
• 	528 697 538 707
Form 	540 697 569 707
1099	573 697 601 707
-	602 697 606 707
MISC 	606 697 638 707
(	641 697 646 707
various 	646 697 687 707
types 	691 697 723 707
of 	726 697 738 707
income	740 697 784 707
, 	784 697 787 707
prizes	791 697 825 707
, 	826 697 828 707
awards	832 697 875 707
, 	875 697 878 707
or 	882 697 894 707
gross	897 697 929 707
proceeds	527 707 585 716
)	578 707 587 716
• 	528 721 538 729
Form 	538 720 569 729
1099	572 720 601 729
-	602 720 606 729
B 	606 720 615 729
(	618 720 622 729
stock 	622 720 653 729
or 	657 720 669 729
mutual 	674 720 712 729
fund 	715 720 741 729
sales 	745 720 775 729
and 	778 720 800 729
certain 	803 720 842 729
other	847 720 877 729
transactions 	527 731 601 740
by 	602 731 618 740
brokers	621 731 665 740
)	662 731 668 740
• 	528 744 538 754
Form 	539 744 569 753
1099	572 744 602 753
-	602 744 606 753
S 	606 744 615 753
(	618 744 622 753
proceeds 	622 744 675 753
from 	678 744 706 753
real 	710 744 730 753
estate 	734 744 770 753
transactions	773 744 844 753
)	844 744 848 753
• 	528 758 538 767
Form 	538 758 569 767
1099	572 758 602 767
-	602 758 606 767
K 	606 758 616 767
(	618 758 622 767
merchant 	622 758 676 767
card 	680 758 706 767
and 	709 758 731 767
third 	735 758 761 767
party 	765 758 795 767
network 	798 758 844 767
transactions	847 758 919 767
)	918 758 923 767
• 	527 772 538 781
Form 	538 771 569 781
1098 	572 771 602 781
(	604 771 609 781
home 	609 771 641 781
mortgage 	645 771 700 781
interest	703 771 746 781
)	746 771 750 781
, 	750 771 753 781
1098	758 771 786 781
-	786 771 790 781
E 	791 771 800 781
(	801 771 806 781
student 	806 771 849 781
loan 	853 771 878 781
interest	881 771 925 781
)	924 771 928 781
,	928 771 932 781
1098	527 782 560 791
-	559 782 563 791
T 	562 782 572 791
(	571 782 578 791
tuition	577 782 613 791
)	611 782 616 791
• 	528 796 538 804
Form 	540 796 569 804
1099	574 796 602 804
-	603 796 607 804
C 	606 796 616 804
(	619 796 623 804
canceled 	624 796 675 804
debt	678 796 706 804
)	704 796 709 804
• 	528 809 538 819
Form 	539 809 569 819
1099	573 809 601 819
-	601 809 604 819
A 	604 809 615 819
(	615 809 620 819
acquisition 	620 809 681 819
or 	685 809 697 819
abandonment 	700 809 779 819
of 	782 809 794 819
secured 	797 809 842 819
property	847 809 894 819
)	893 809 897 819
Use 	540 823 568 832
Form 	568 823 598 832
W	600 823 615 832
-	614 823 619 832
9 	618 823 626 832
only 	629 823 654 832
if 	657 823 665 832
you 	666 823 688 832
are 	692 823 710 832
a 	713 823 720 832
U.S. 	724 823 748 832
person 	753 823 792 832
(	796 823 800 832
including 	800 823 852 832
a 	856 823 863 832
resident	867 823 913 832
alien	528 833 557 843
)	553 833 559 843
, 	559 833 562 843
to 	566 833 578 843
provide 	581 833 625 843
your 	627 833 654 843
correct 	657 833 698 843
TIN	701 833 721 843
.	719 833 724 843
If 	540 847 552 856
you 	550 847 574 856
do 	576 847 593 856
not 	596 847 616 856
return 	618 847 652 856
Form 	656 847 685 856
W	690 847 703 856
-	699 847 706 856
9 	706 847 714 856
to 	715 847 729 856
the 	732 847 751 856
requester 	754 847 810 856
with 	813 847 836 856
a 	839 847 847 856
TIN	851 847 871 856
, 	870 847 873 856
you 	876 847 898 856
might	901 847 935 856
be 	528 857 544 867
subject 	546 857 590 866
to 	592 857 604 866
backup 	607 857 650 866
withholding	653 857 720 866
. 	720 857 723 866
See 	726 857 750 866
What 	752 857 783 866
is 	787 857 796 866
backup 	800 857 843 866
withholding	847 857 914 866
.	914 857 918 866
later	527 869 556 875
.	552 869 557 875
Form 	809 885 838 894
W	838 885 856 894
-	855 885 861 894
9 	861 885 871 894
(	873 885 878 894
Rev. 	878 885 899 894
10-2018	903 885 947 894
)	945 885 948 894

Form	76 73 104 79
W	111 60 151 81
-	144 60 160 81
9	158 60 182 81
Request 	406 63 488 77
for 	496 63 521 76
Taxpayer	528 63 620 77
Identification 	317 79 448 92
Number 	458 79 534 92
and 	541 79 577 92
Certification	585 79 707 92
Give 	817 71 853 79
Form 	854 71 889 79
to 	894 71 908 79
the	913 71 935 79
requester	820 84 885 93
. 	886 84 888 93
Do 	894 84 913 93
not	918 84 940 93
Department 	76 94 132 104
of 	135 95 145 103
the 	145 95 161 104
Treasury	163 95 204 104
send 	819 97 852 105
to 	856 97 870 105
the 	874 97 896 105
IRS	901 97 925 105
.	926 97 928 105
Internal 	76 103 110 110
Revenue 	114 103 155 110
Service	158 103 192 110
(	74 85 80 93
Rev. 	80 85 102 93
October 	105 85 147 93
2018	149 85 175 93
)	174 85 178 93
Go 	301 103 321 112
to 	324 103 336 112
www.irs.gov/FormW9 	339 103 472 112
for 	476 103 493 112
instructions 	497 103 569 112
and 	574 103 596 112
the 	600 103 619 112
latest 	624 103 657 112
information	662 103 731 112
.	732 103 735 112
1 	118 116 126 125
Name 	130 116 161 125
(	162 116 166 125
as 	166 116 178 125
shown 	181 116 214 125
on 	218 116 230 125
your 	233 116 256 125
income 	259 116 296 125
tax 	299 116 315 125
return	318 116 346 125
)	347 116 350 125
. 	350 116 352 125
Name 	356 116 387 125
is 	389 116 397 125
required 	402 116 442 125
on 	446 116 458 125
this 	462 116 479 125
line	483 116 500 125
; 	501 116 503 125
do 	507 116 519 125
not 	523 116 539 125
leave 	543 116 569 125
this 	572 116 590 125
line 	592 116 610 125
blank	613 116 641 125
.	640 116 643 125
Annie 	117 131 158 141
Gray	162 131 196 142
2 	117 144 126 152
Business 	129 144 176 152
name	180 144 208 152
/	207 144 211 152
disregarded 	210 144 271 152
entity 	274 144 302 152
name	305 144 333 152
, 	334 144 336 152
if 	339 144 345 152
different 	348 144 390 153
from 	393 144 416 153
above	419 144 450 153
3 	117 174 124 183
Check 	129 174 163 183
appropriate 	165 174 224 183
box 	227 174 246 183
for 	250 174 263 183
federal 	266 174 300 183
tax 	304 174 319 183
classification 	323 174 387 183
of 	391 174 400 183
the 	403 174 419 183
